No,Name,Formula,Atoms,Description,FunFact,FormationReason
233,"โซดาไฟสูตรละลายเจือจางความเข้มข้น 8","NaOH + 8H₂O","Na:1|O:9|H:17","โซดาไฟเจือจางน้ำละลาย 8 โมเลกุล น้ำยาปรับสภาพเส้นด้ายใยพืชเพื่อทอกระสอบเก็บสมุนไพรแห้ง","เบสระดับนี้ช่วยลอกเมือกเหนียวตามผิวเส้นใยธรรมชาติออก ทำให้ทอกระสอบได้เหนียวหนาและปลอดเชื้อรา","ออกซิเจนและไฮโดรเจนในโครงสร้างน้ำ 8 ตัวทำพันธะไฮโดรเจนอย่างหนาแน่น ชะลอความแรงของฤทธิ์ด่างไม่ให้กัดกินสายใยพืชเปื่อยขาด"
234,"โซดาไฟสูตรละลายเจือจางความเข้มข้น 9","NaOH + 9H₂O","Na:1|O:10|H:19","โซดาไฟเจือจางน้ำละลาย 9 โมเลกุล น้ำยาแช่ทำความสะอาดพลองเวทมนตร์ไม้สนเพื่อเคลือบเงา","ช่วยล้างยางไม้เหนียวๆ ที่ซึมออกจากเนื้อไม้ออกจนหมดจด เผยผิวไม้เรียบเนียนพร้อมปัดสีทองเหลืองสะท้อนแสง","ไอออนไฮดรอกไซด์ที่เจือจางอย่างยิ่งในน้ำ 9 โมเลกุลเข้าทำปฏิกิริยากับยางไม้เหนียวอย่างนุ่มนวล โดยไม่กร่อนทำลายเยื่อเซลลูโลสของเนื้อไม้"
235,"โซดาไฟสูตรละลายเจือจางความเข้มข้น 10","NaOH + 10H₂O","Na:1|O:11|H:21","โซดาไฟเจือจางน้ำละลาย 10 โมเลกุล น้ำยายอดบ้วนล้างผิวคริสตัลดวงตาเวทเพื่อสลัดคราบอับราดำ","เบสระดับเจือจางสูงสุดปลอดภัยต่อกระจกคริสตัล ล้างราดำขอบผิวสะอาดใสกิ๊กมองเห็นสูตรแปรธาตุแจ่มชัด","โซเดียมบวกและไฮดรอกไซด์ลบโดนโมเลกุลน้ำถึง 10 ตัวล้อมรอบอย่างสมบูรณ์ ลดความหนาแน่นประจุเบสเหลือเพียงระดับถนอมผิววัสดุเลนส์"
236,"แอมโมเนียละลายน้ำความเข้มข้น 1","NH₃ + H₂O","N:1|H:5|O:1","ปรุงยาดมแอมโมเนียสูตรพื้นฐานเจือจางน้ำ 1 ส่วน เพื่อเรียกสติคนไข้เป็นลมช็อกแดดให้ฟื้นตัว","กลิ่นฉุนระเหยขึ้นแตะจมูกช่วยกระตุ้นระบบหายใจให้สูดลมฟื้นตัวตาสว่างในพริบตา","แอมโมเนีย (NH3) ทำปฏิกิริยาผันกลับได้กับน้ำ 1 ตัว เกิดเป็นแอมโมเนียมไอออน (NH4+) และไฮดรอกไซด์ลบ (OH-) คายแก๊สฉุนระเหยง่าย"
237,"แอมโมเนียละลายน้ำความเข้มข้น 2","NH₃ + 2H₂O","N:1|H:7|O:2","น้ำยาแอมโมเนียเจือจางน้ำ 2 ส่วน น้ำยาสำหรับแช่ทำความสะอาดคราบเหงื่อไคลพู่กันเขียนเวทมนตร์","ช่วยละลายคราบไขมันจากปลายนิ้วมือที่สะสมตามขนแปรงพู่กันให้หลุดล้างออกง่ายดาย ขนแปรงนุ่มสลวย","โมเลกุลน้ำ 2 ตัวช่วยกักแก๊สแอมโมเนียไว้ในรูปของเหลว ลดความเร็วในการระเหยและเพิ่มพื้นที่ผิวสัมผัสจับคราบมัน"
238,"แอมโมเนียละลายน้ำความเข้มข้น 3","NH₃ + 3H₂O","N:1|H:9|O:3","น้ำยาแอมโมเนียเจือจางน้ำ 3 ส่วน ใช้ทำความสะอาดชิ้นส่วนกลไกทองเหลืองในเครื่องวัดอุณหภูมิห้องแล็บ","ขจัดคราบหมองออกเกลี้ยงเผยเนื้อทองเหลืองแวววาว นำกระแสไฟฟ้าส่งสัญญาณความร้อนได้แม่นยำ","แอมโมเนียในน้ำ 3 ตัวสร้างสารประกอบเชิงซ้อนกับไอออนโลหะทองเหลือง ช่วยดึงคราบอ๊อกไซด์ที่เคลือบผิวหน้าให้หลุดลอยแยกตัว"
239,"แอมโมเนียละลายน้ำความเข้มข้น 4","NH₃ + 4H₂O","N:1|H:11|O:4","น้ำยาแอมโมเนียเจือจางน้ำ 4 ส่วน ใช้ล้างทำความสะอาดแผ่นกระจกหน้าต่างห้องต้มยาที่มีเขม่าเกาะ","ละลายคราบเหนียวจากไอควันกำมะถันได้วิเศษสุด กระจกขาวใสสะท้อนแสงไฟสว่างเจิดจ้าตาน่ามอง","น้ำ 4 โมเลกุลล้อมแกนแอมโมเนีย ปรับสมดุลแรงตึงผิวช่วยให้น้ำยาแผ่ตัวสลัดคราบเหนียวเขม่าบนผิวกระจกเรียบลื่นหลุดลงก้น"
240,"แอมโมเนียละลายน้ำความเข้มข้น 5","NH₃ + 5H₂O","N:1|H:13|O:5","น้ำยาแอมโมเนียสเปรย์เจือจางน้ำ 5 โมเลกุล ใช้พ่นไล่แมลงศัตรูพืชแปลงเพาะชำสมุนไพรรักษาแผล","กลิ่นฉุนระดับนี้แมลงเกลียดมากจนไม่กล้าบินมาเจาะยอดใบพืช แต่ปลอดภัยไม่ทำใบพืชไหม้เกรียมเสียหาย","โมเลกุลน้ำ 5 ตัวช่วยหน่วงและประคองประจุ ไม่ให้แอมโมเนียแตกตัวแรงเกินไปจนทำลายเนื้อเยื่อพืชที่บอบบาง"
241,"แอมโมเนียละลายน้ำความเข้มข้น 6","NH₃ + 6H₂O","N:1|H:15|O:6","น้ำยาแอมโมเนียเจือจางน้ำ 6 โมเลกุล น้ำยาแช่ปรับสภาพเส้นด้ายฝ้ายทำเชือกผูกสมุนไพรตากแห้ง","เส้นด้ายจะนุ่มขึ้นและเหนียวทนทานแรงดึงกระชากดีเยี่ยม แขวนตากแห้งยาวนานแรมปีเชือกไม่เปื่อยขาดพัง","น้ำ 6 ตัวช่วยลดความเข้มข้นของฤทธิ์ด่างอ่อนๆ เข้าสอดแทรกระว่างตาข่ายใยฝ้าย ผ่อนคลายแรงตึงผิวให้อ่อนนุ่มเหนียวจับตัว"
242,"แอมโมเนียละลายน้ำความเข้มข้น 7","NH₃ + 7H₂O","N:1|H:17|O:7","น้ำยาแอมโมเนียเจือจางน้ำ 7 อัตราส่วน ใช้ทำความสะอาดซอกแผ่นอิฐปูทางเดินแล็บล้างคราบตะไคร่สะสม","ทำลายเส้นใยราคราบตะไคร่บนผิวอิฐ ทางเดินแห้งสนิทดินไม่ลื่นล้มหัวกระแทกหม้อต้มปรุงยา","แอมโมเนียเจือจางในน้ำ 7 ตัวแตกประจุไฮดรอกไซด์ต่ำ ปล่อยฤทธิ์เบสแทรกซึมร่องอิฐสลายเมือกตะไคร่นุ่มนวลลื่นหลุด"
243,"แอมโมเนียละลายน้ำความเข้มข้น 8","NH₃ + 8H₂O","N:1|H:19|O:8","น้ำยาแอมโมเนียเจือจางน้ำ 8 โมเลกุล น้ำยายอดบำรุงเคลือบผิวหนังสัตว์ถุงเก็บแร่วิเศษกันความชื้น","ถุงหนังจะยืดหยุ่นดีไม่กรอบแห้งร้าวแตกลายงา คงสภาพเก็บแร่แห้งสนิทพ้นอันตรายไอชื้นตู้เก็บยา","โมเลกุลน้ำ 8 ตัวทำพันธะไฮโดรเจนรอบแอมโมเนียชะลอการกัดหนัง ช่วยกระจายไอชื้นถนอมเนื้อนุ่มของผิวกระชับรูปเหนียวแน่น"
244,"แอมโมเนียละลายน้ำความเข้มข้น 9","NH₃ + 9H₂O","N:1|H:21|O:9","น้ำยาแอมโมเนียเจือจางน้ำ 9 โมเลกุล ยอดน้ำยาแช่ปรับสภาพเส้นลวดนำไฟฟ้าขดสปริงขจัดสนิมบางเบา","เส้นลวดทองแดงจะเงาขาวใสกิ๊ก นำกระแสไฟสตาร์ทสปาร์คปืนกลไฟเตาต้มยาได้แม่นยำรวดเร็วทันใจ","แอมโมเนียในน้ำ 9 ตัวช่วยลดระดับแรงปะทะประจุทำความสะอาดผิวหน้าโลหะ ดึงตะกอนสนิมหลุดออกจากเกลียวขดลวดลื่นไหล"
245,"แอมโมเนียละลายน้ำความเข้มข้น 10","NH₃ + 10H₂O","N:1|H:23|O:10","น้ำยาแอมโมเนียเจือจางน้ำสูง 10 ส่วน ยอดน้ำยาเร่งงอกรากดินเพาะสปอร์เห็ดป่าสีฟ้านวลเรืองแสง","เห็ดเรืองแสงจะงอกงดงามแผ่สปอร์เรืองรองเต็มหม้อต้มยา ผลิตแสงสว่างนุ่มนวลชวนมองยามค่ำคืนในห้องแล็บ","ไนโตรเจนจากแอมโมเนียเจือจางสูงในน้ำ 10 ตัวเป็นแหล่งธาตุอาหารพืชชั้นยอด ค่อยๆ ปล่อยปฏิกิริยาบำรุงไม่ให้เซลล์รากเน่าเหี่ยวเฉา"
246,"ไฮโดรเจนเปอร์ออกไซด์เจือจางความเข้มข้น 1","H₂O₂ + H₂O","H:4|O:3","น้ำยาเจลไฮโดรเจนเปอร์ออกไซด์เจือจางน้ำ 1 ส่วน น้ำยาทำความสะอาดแผลฆ่าเชื้อโรคที่มีฟองขาวฟู่หนา","ฟองฟู่สีขาวสะอาดช่วยลอกเนื้อตายคราบเลือดแห้งกรังให้หลุดล้างออกนุ่มนวล แผลสะอาดใสกิ๊กสสมานตัวเร็ว","น้ำ 1 โมเลกุลช่วยลดความไวในการย่อยสลายตัวคายก๊าซ O2 ของไฮโดรเจนเปอร์ออกไซด์ ทำให้ทำปฏิกิริยากับเอนไซม์เลือดได้อย่างต่อเนื่อง"
247,"ไฮโดรเจนเปอร์ออกไซด์เจือจางความเข้มข้น 2","H₂O₂ + 2H₂O","H:6|O:4","น้ำยายอดดมรักษาสีสันดอกไม้ส้มสมุนไพรตากแห้งไม่ให้คล้ำหมอง","กลีบดอกไม้จะคงสีส้มสวยสดใสไม่ซีดจาง คืนร่างคงสภาพแห้งเก็บปรุงยาชั้นดีพ้นอันตรายไอชื้นข้ามคืน","น้ำ 2 ตัวอุ้มโมเลกุล H2O2 ช่วยล็อกไม่ให้อนุภาคออกซิเจนอิสระวิ่งเข้าไปสลายทำลายเม็ดสีคลอโรฟิลล์และสารสีในเนื้อพืชเร็วเกินไป"
248,"ไฮโดรเจนเปอร์ออกไซด์เจือจางความเข้มข้น 3","H₂O₂ + 3H₂O","H:8|O:5","น้ำยาเปอร์ออกไซด์เจือจางน้ำ 3 สัดส่วน ยอดน้ำยาแช่บำรุงกรรไกรสลักใบไม้พลองแปรธาตุฆ่าราดำ","ขจัดเชื้อราดำอับชื้นติดขอบเหล็กกรรไกรหมดเกลี้ยง ใบมีดขาววิบวับตัดยอดใบสมุนไพรรวดเร็วฉับไวเส้นไม่ช้ำ","น้ำ 3 ตัวสร้างฟิล์มเหลวโอบประจุช่วยจำกัดอัตราปล่อยประจุลบทำลายสปอร์ราดำได้อย่างเด็ดขาด ทนทาน ไม่กร่อนโลหะหลังคา"
249,"ไฮโดรเจนเปอร์ออกไซด์เจือจางความเข้มข้น 4","H₂O₂ + 4H₂O","H:10|O:6","น้ำยาเปอร์ออกไซด์เจือจางน้ำ 4 โมเลกุล น้ำยาสเปรย์ฉีดปรับสภาพพู่กันขนแปรงสัตว์ให้สะอาดยา","ขนแปรงพู่กันจะปราศจากเชื้อแบคทีเรียกลิ่นสาบและนุ่มสลวย ขีดเขียนคาถาลายสัญญะเด่นสม่ำเสมอสวยงาม","โมเลกุลน้ำ 4 ตัวล้อมรอบแกนพันธะเดี่ยวออกซิเจน ช่วยหน่วงแรงตึงผิวและรักษาโปรตีนเส้นขนไม่ให้เปื่อยขาดหลุดร่วงเสียหาย"
250,"ไฮโดรเจนเปอร์ออกไซด์เจือจางความเข้มข้น 5","H₂O₂ + 5H₂O","H:12|O:7","น้ำยาเปอร์ออกไซด์เจือจางน้ำสูง 5 ส่วน น้ำยาเช็ดล้างเลนส์คริสตัลดวงตาเวทล้างคราบอับไขมัน","เลนส์ตาวิเศษกระจกส่องสูตรแปรธาตุจะใสกิ๊ก เผยสัญญะวงแหวนสุ่มเควสท์เคมี 300 ด่านแจ่มชัดตาสว่าง","น้ำ 5 โมเลกุลโอบประจุเปอร์ออกไซด์สมบูรณ์แบบ แผ่ไอทำลายคราบไขมันบางเบาบนผิวกระจกเลนส์ได้อย่างปลอดภัยไม่ระคายเคืองกร่อน"
251,"น้ำกรดน้ำส้มเข้มข้นสูงน้ำ 1","C₂H₄O₂ + H₂O","C:2|H:6|O:3","กรดน้ำส้มหมักผลไม้ป่าผสมน้ำ 1 ส่วน น้ำยาฆ่าเชื้อราดินลึกขจัดโรคเน่าโคนสมุนไพรสด","ช่วยถนอมรากสมุนไพรรักษาแผลสดพืชคืนตัวใบหนาดกดอกส้มสวยบานเรืองแสงสว่างวาบ","คาร์บอกซิลปล่อยประจุ H+ แตกตัวเจือจางในน้ำ 1 ส่วนคุมพลังกรดกัดทำลายสปอร์ราได้ลึกแกร่ง"
252,"น้ำกรดน้ำส้มเข้มข้นสูงน้ำ 2","C₂H₄O₂ + 2H₂O","C:2|H:8|O:4","กรดอะซิติกเจือจางละลายน้ำ 2 ส่วน น้ำยาแช่ขัดเงาลูกบิดเหล็กปลดล็อกตู้ตำรายาวิศว","ลูกบิดเหล็กตู้ยาจะเงาหมุนง่ายไม่ติดขัดฝุ่นลื่นมือเปิดหาใบสั่งเคมีได้รวดเร็วสะดวกใจเด่น","น้ำ 2 ตัวชะลอกรดทำลายผิวเคลือบเหล็กช่วยล็อกอัตราลอกคราบไคลคราบไขสนิมดำลื่นหลุดสะอาด"
253,"น้ำกรดน้ำส้มเข้มข้นสูงน้ำ 3","C₂H₄O₂ + 3H₂O","C:2|H:10|O:5","กรดน้ำส้มสายชูน้ำ 3 โมเลกุล น้ำยาแช่ผลไม้แอปเปิ้ลเขียวป่าถนอมรสเปรี้ยวอมหวาน","ช่วยให้เนื้อแอปเปิ้ลกรอบนุ่มน่าทานกลิ่นหอมนานวันไม่ดำเหี่ยวเน่าแห้งค้างคืนข้ามภพ","น้ำ 3 ตัวโอบอุ้มโปรตอนหน่วงกรดสั่นตัวช่วยรักษาความสดผิวผลไม้ไม่ทำลายเซลล์เนื้ออ่อนผุย"
254,"น้ำกรดน้ำส้มเข้มข้นสูงน้ำ 4","C₂H₄O₂ + 4H₂O","C:2|H:12|O:6","กรดอะซิติกเจือจางละลายน้ำ 4 อัตราส่วน น้ำยาเช็ดแผ่นกระจกหน้าต่างแล็บล้างคราบเขม่า","กระจกหน้าต่างจะขาวใสสะท้อนแสงแดดส่องสว่างห้องปรุงยาให้บรรยากาศน่านั่งเรียนรู้ตาน่าเรียน","น้ำ 4 ตัวล้อมขั้วโมเลกุลกรดช่วยควบคุมฤทธิ์กัดกร่อนขจัดคราบไขมันเขม่าควันเกาะกระจกหลุดพัง"
255,"น้ำกรดน้ำส้มเข้มข้นสูงน้ำ 5","C₂H₄O₂ + 5H₂O","C:2|H:14|O:7","กรดน้ำส้มสายชูละลายน้ำ 5 โมเลกุล น้ำยาฉีดพ่นบำบัดกลิ่นสาบหนังสัตว์ทำปลอกพลองแห้ง","ปลอกพลองหนังจะกลิ่นสะอาดปราศจากกลิ่นสาบหอมละมุนอ่อนๆ กวนใจพ่อมดน้อยควงหมุนง่าย","น้ำ 5 ตัวหน่วงการระเหยของควันเปรี้ยวล็อกกลิ่นฉุนกึกกรดช่วยย่อยกลิ่นสาบโปรตีนหนังสัตว์หมด"
256,"น้ำกรดน้ำส้มเข้มข้นสูงน้ำ 6","C₂H₄O₂ + 6H₂O","C:2|H:16|O:8","กรดน้ำส้มละลายน้ำ 6 อัตราส่วน น้ำยาแช่ปรับเส้นไหมสัญญะเวทมนตร์เหนียวนุ่มไม่เปราะ","เส้นไหมถักทอม้วนสัญลักษณ์จะมีสีครามสดสวยเกาะเส้นนุ่มถักง่ายไม่สากหยาบแข็งกระด้างพัง","น้ำ 6 ตัวโอบไอออนเกลือกรดชะลอประจุช่วยสยายขนเส้นใยไหมให้จัดเรียงระนาบนุ่มนวลคงเส้นคงวา"
257,"น้ำกรดน้ำส้มเข้มข้นสูงน้ำ 7","C₂H₄O₂ + 7H₂O","C:2|H:18|O:9","กรดอะซิติกเจือจางสเปรย์น้ำ 7 โมเลกุล น้ำยาปรับล้างคราบปูนป่นติดพู่กันเขียนทองเหลือง","พู่กันขนแปรงจะพริ้วเรียบเนียนขัดสีลากเส้นเขียนวาดสัญญะกลมเกลี้ยงสม่ำเสมอดำเนินใจเด่น","น้ำ 7 ตัวขวางทิศประจุกรดช่วยควบคุมอัตราสลายหินปูนคราบตกค้างซอกขนแปรงลื่นหลุดออกราบคาบ"
258,"น้ำกรดน้ำส้มเข้มข้นสูงน้ำ 8","C₂H₄O₂ + 8H₂O","C:2|H:20|O:10","กรดน้ำส้มสายชูละลายน้ำ 8 โมเลกุล น้ำยายอดบำรุงรักษาเนื้อกระดานชนวนหินเขียนเวท","ผิวกระดานชนวนหินจะดำเรียบมันเงางามปัดกวาดง่ายไม่ทิ้งคราบฝุ่นชอล์กเขียนสัญญะเวทอับชื้น","น้ำ 8 ตัวทำพันธะไฮโดรเจนรอบโมเลกุลกรดล็อกประจุคงที่กระจายเคลือบผิวกระดานชนวนแกร่งแห้ง"
259,"น้ำกรดน้ำส้มเข้มข้นสูงน้ำ 9","C₂H₄O₂ + 9H₂O","C:2|H:22|O:11","กรดอะซิติกเจือจางน้ำละลาย 9 อัตราส่วน น้ำยาเช็ดรักษาคริสตัลดวงตาเวทล้างฝุ่นควัน","คริสตัลตาวิเศษจะกลับใสสว่างเจิดจ้าเผยสูตรแปรธาตุปรุงยาลับขั้นสุดยอดชัดเจนลื่นลื่นลื่น","น้ำ 9 ตัวช่วยชะลอปฏิกิริยากรดไม่ให้กัดกร่อนผิวกระจกคริสตัลตาวิเศษด่างกร่อนหมองทรามลง"
260,"น้ำกรดน้ำส้มเข้มข้นสูงน้ำ 10","C₂H₄O₂ + 10H₂O","C:2|H:24|O:12","กรดน้ำส้มสายชูเจือจางสูง 10 ส่วน ยอดน้ำยาปรับสมดุลดินเหนียวปั้นกระถางเพาะสมุนไพร","กระถางดินเหนียวจะแห้งแน่นคงตัวดีไม่แตกร้าวสลายพังเมื่อเข้าเตาเผาร้อนร้อนปรุงยากลายร่าง","น้ำ 10 ตัวหน่วงกรดสลายตัวช่วยคุมการดึงความชื้นหนีผิวดินเหนียวป้องกันโครงสร้างยุบร้าวพัง"
261,"น้ำกรดกำมะถันนำไฟฟ้าสูงน้ำ 1","H₂SO₄ + H₂O","H:4|S:1|O:5","กรดซัลฟิวริกผสมน้ำ 1 ส่วน ยอดกรดแปรประจุนำไฟฟ้ากำลังสูงปรี๊ดสะพานไฟรถสตาร์ทปะทุ","ส่งกระแสไฟฟ้าวัดประจุได้แรงรวดเร็วสตาร์ทปืนกลไฟเตาต้มแปรธาตุร้อนจัดทำงานแสนแกร่ง","กำมะถันอะตอมกลางจับออกซิเจนคายโปรตอน H+ ละลายในน้ำ 1 ส่วน แตกประจุนำกระแสไฟฟ้าคงที่เด่น"
262,"น้ำกรดกำมะถันนำไฟฟ้าสูงน้ำ 2","H₂SO₄ + 2H₂O","H:6|S:1|O:6","กรดกำมะถันเจือจางละลายน้ำ 2 ส่วน น้ำยาปรับขั้วไฟฟ้าแบตเตอรี่รถให้ไฟนิ่งสมดุลดี","ป้องกันไม่ให้ขั้วไฟฟ้าไหม้เกรียมเสียหายเมื่อปืนกลไฟพ่นพลังทำงานยาวนานสตาร์ททนทาน","น้ำ 2 ตัวอุ้มโปรตอนชะลอปฏิกิริยาร้อนสะสมช่วยควบคุมความเย็นขั้วโลหะไฟฟ้าแบตเตอรี่เสถียร"
263,"น้ำกรดกำมะถันนำไฟฟ้าสูงน้ำ 3","H₂SO₄ + 3H₂O","H:8|S:1|O:7","กรดซัลฟิวริกละลายน้ำ 3 สัดส่วน น้ำยาผสมกัดล้างตะกอนเหล็กหนาในเตาหลอมโบราณเหล็กพัง","คราบเขม่าเหล็กจับหนาก้นเตาจะสลายหลุดกวาดง่ายขจัดฝุ่นเตาหลอมกลับสะอาดสะกดสายตาเด่นชัด","น้ำ 3 ตัวประสานล้อมประจุซัลเฟตกัดกร่อนคราบเขม่าเหล็กสองเหล็กสามละลายลอยตัวหลุดราบคาบ"
264,"น้ำกรดกำมะถันนำไฟฟ้าสูงน้ำ 4","H₂SO₄ + 4H₂O","H:10|S:1|O:8","กรดกำมะถันเจือจางละลายน้ำ 4 โมเลกุล น้ำยากัดแร่ทองแดงดิบลอกสิ่งเจือปนถลุงแร่ทอง","ทองคำแทรกเกล็ดแร่จะสะอาดเงาเหลืองอร่อยขัดเงางามพร้อมนำไปหลอมรูปเหรียญทองแปรธาตุ","น้ำ 4 ตัวลดแรงกัดผิวกรดเข้มข้นช่วยถนอมไม่ให้เนื้อทองคำโดนสลายบางสูญแร่ล้ำค่าลอยพัง"
265,"น้ำกรดกำมะถันนำไฟฟ้าสูงน้ำ 5","H₂SO₄ + 5H₂O","H:12|S:1|O:9","กรดซัลฟิวริกสเปรย์น้ำ 5 โมเลกุล น้ำยาปรับล้างทำสะอาดแร่วูลฟราไมต์ทังสเตนสกัดบริสุทธิ์","ทังสเตนจะสะอาดแห้งคงเกล็ดแร่แกร่งพร้อมดึงดัดรูปเส้นสัญญะเตาหลอมสว่างไฟทนทานวิเศษ","น้ำ 5 ตัวทำหนืดล้อมประจุควบคุมฤทธิ์ร้อนกรดไม่ให้ระเบิดเดือดเดือดปะทุฉับพลันเตาเผาแตกสลาย"
266,"น้ำยาเฟอร์ริกคลอไรด์กัดกร่อนน้ำ 1","FeCl₃ + H₂O","Fe:1|Cl:3|H:2|O:1","เกลือเหล็กสามกัดแผงทองแดงละลายเจือจางน้ำ 1 ส่วน สูตรทำแผ่นลายปริ้นสวิสไฟเครื่องจักร","ลายปริ้นท์แผงควบคุมสวิตช์ไฟฟ้าจะทำงานแม่นยำไร้เขม่าขัดขวางลายวงจรเรียงต่อสัญญะเด่น","ไอออน Fe3+ ประจุหนาแน่นแตกตัวละลายน้ำ 1 ส่วนเข้าดึงอิเล็กตรอนแผ่นทองแดงฉับไวสลักลายลึก"
267,"น้ำยาเฟอร์ริกคลอไรด์กัดกร่อนน้ำ 2","FeCl₃ + 2H₂O","Fe:1|Cl:3|H:4|O:2","เกลือเหล็กสามกัดกรดทองแดงละลายน้ำ 2 ส่วน ป้องกันไม่ให้แผ่นทองแดงบางฉีกขาดหลุด","ช่วยประคองขอบลายเส้นวงจรเวทมนตร์หนาแน่นคมชัดสม่ำเสมอส่งพลังขับกระแสไฟแปรธาตุคงที่","น้ำ 2 ตัวโอบล้อมประจุชะลอปฏิกิริยาดึงอิเล็กตรอนช่วยถนอมแผงสวิตช์ไม้ฐานปริ้นท์ไม่กร่อนผุย"
268,"น้ำยาเฟอร์ริกคลอไรด์กัดกร่อนน้ำ 3","FeCl₃ + 3H₂O","Fe:1|Cl:3|H:6|O:3","เกลือเหล็กสามกัดทองแดงละลายน้ำ 3 สัดส่วน น้ำยาล้างกระบอกทองเหลืองปรุงหม้อเดือดพล่าน","คราบคราบดำคราบนิลเกาะผิวหม้อทองเหลืองจะเปื่อยร่วนเป่าสะอาดใสกิ๊กหม้อสว่างแวววาวตาน่าปรุง","น้ำ 3 ตัวประสานประจุล็อกความเร็วปะทะกัดกร่อนดึงคราบนิลทองเหลืองละลายไหลลื่นตกก้นท่อกวาด"
269,"น้ำยาเฟอร์ริกคลอไรด์กัดกร่อนน้ำ 4","FeCl₃ + 4H₂O","Fe:1|Cl:3|H:8|O:4","เกลือเหล็กสามละลายเจือจางน้ำ 4 โมเลกุล น้ำยาแช่ทำสะอาดคราบทองแดงพู่กันเขียนทองเหลือง","ขนแปรงพู่กันจะกลับมานุ่มเด้งสลวยพริ้วลื่นดัดง่ายปลายคมเขียนวงแหวนคาถาไม่ขาดสะดุดสายตา","น้ำ 4 ตัวลดความเป็นกรดเกลือกรดดึงประจุเหล็กช่วยถนอมโปรตีนเส้นขนพู่กันสัตว์ไม่เปื่อยร่วงหัก"
270,"น้ำยาเฟอร์ริกคลอไรด์กัดกร่อนน้ำ 5","FeCl₃ + 5H₂O","Fe:1|Cl:3|H:10|O:5","เกลือเหล็กสามสเปรย์ละลายน้ำ 5 โมเลกุล น้ำยาทำความสะอาดแผ่นผิวหนังสัตว์ถุงเก็บผงแร่อับ","ป้องกันกลิ่นสาบและเชื้อราดำเกาะผนังซองเก็บแผงแร่แห้งคงสภาพถุงเหนียวทนทานพิกัดปลอดภัย","น้ำ 5 ตัวหน่วงปฏิกิริยาทำหนืดช่วยควบประจุเหล็กสามขจัดคราบไขสัตว์ฝังลึกผิวนอกหนังสัตว์พัง"
271,"น้ำโซดาแก๊สฟองซ่าเข้มข้นน้ำ 1","CO₂ + H₂O","C:1|O:3|H:2","แก๊สคาร์บอนไดออกไซด์อัดฟองซ่าลงน้ำ 1 ส่วน ยอดน้ำโซดาซ่าส์ตาสว่างชูพลังสดชื่นกระชุ่มกระชวย","ซดดื่มชามยาสดชื่นกระปรี้กระเปร่าสมองตาสว่างลื่นลื่นปรุงยาแปรธาตุได้ฉับไวไม่เพลียเพลียหลับ","แก๊สคาร์บอนแชร์อิเล็กตรอนกับออกซิเจนและน้ำจับประจุเปลี่ยนร่างเป็นกรดคาร์บอนิกซ่าซ่าซ่า"
272,"น้ำโซดาแก๊สฟองซ่าเข้มข้นน้ำ 2","CO₂ + 2H₂O","C:1|O:4|H:4","แก๊สโซดาซ่าเจือจางน้ำ 2 ส่วน น้ำยาผสมคราบสปาโคลนหมอกพ่นฟองผิวกายคนไข้ชุ่มชื้นคืนกาย","ช่วยสลัดผิวแตกรอยย่อยสมานแผลแห้งอักเสบผิวกายเนียนนุ่มเด้งดึ๋งตึงหนึบสุขภาพผิวพรรณดี","น้ำ 2 ตัวอุ้มหน่วงประซ่าช้าคอยชะลอการคายฟอง CO2 แผ่ความเย็นลื่นผิวหนังนุ่มละมุนสบายกาย"
273,"น้ำโซดาแก๊สฟองซ่าเข้มข้นน้ำ 3","CO₂ + 3H₂O","C:1|O:5|H:6","แก๊สคาร์บอนไดออกไซด์ละลายน้ำ 3 สัดส่วน น้ำยาบำบัดรากพืชสมุนไพรสดเป่าดินร่วนซุย","ดินรอบโคนรากจะร่วนโปร่งออกซิเจนแทรกตัวง่ายพืชปรุงแร่ขึ้นยอดใบดอกส้มงามเด่นเรืองแสงเวท","น้ำ 3 ตัวประสานล้อมประจุแก๊สค่อยซึมดินช่วยดันชั้นอากาศให้ดินเปิดโปร่งลดคราบดินอัดแน่นพัง"
274,"น้ำโซดาแก๊สฟองซ่าเข้มข้นน้ำ 4","CO₂ + 4H₂O","C:1|O:6|H:8","แก๊สโซดาละลายน้ำเจือจาง 4 โมเลกุล น้ำยาพ่นเคลือบแผ่นใบหมากดินบ่มผลไม้สุกเร็วสว่าง","ใบผลไม้จะชื้นสดคุมระดับแก๊สเอทิลีนในก้อนดินผลไม้สุกงอมสีสวยเนื้อหวานฉ่ำน่ากินตาสดสวย","น้ำ 4 ตัวลดความเปรี้ยวกรดช่วยถนอมผิวนอกผลไม้เปลือกบางไม่ให้ไหม้ด่างเหลืองเปื่อยเสียหาย"
